# ACTS Test Suite Generation: Tue Nov 03 15:36:32 EST 2020
#  '*' represents don't care value 
# Degree of interaction coverage: 5
# Number of parameters: 5
# Maximum number of values per parameter: 4
# Number of configurations: 192
use_log,combinaison_log,vocab_counter_treshold,cleaning_mode,calcul_mode
0,0,1,0,0
0,1,1,0,0
1,0,1,0,0
1,1,1,0,0
0,0,1,0,1
0,1,1,0,1
1,0,1,0,1
1,1,1,0,1
0,0,1,0,2
0,1,1,0,2
1,0,1,0,2
1,1,1,0,2
0,0,1,1,0
0,1,1,1,0
1,0,1,1,0
1,1,1,1,0
0,0,1,1,1
0,1,1,1,1
1,0,1,1,1
1,1,1,1,1
0,0,1,1,2
0,1,1,1,2
1,0,1,1,2
1,1,1,1,2
0,0,1,2,0
0,1,1,2,0
1,0,1,2,0
1,1,1,2,0
0,0,1,2,1
0,1,1,2,1
1,0,1,2,1
1,1,1,2,1
0,0,1,2,2
0,1,1,2,2
1,0,1,2,2
1,1,1,2,2
0,0,1,3,0
0,1,1,3,0
1,0,1,3,0
1,1,1,3,0
0,0,1,3,1
0,1,1,3,1
1,0,1,3,1
1,1,1,3,1
0,0,1,3,2
0,1,1,3,2
1,0,1,3,2
1,1,1,3,2
0,0,2,0,0
0,1,2,0,0
1,0,2,0,0
1,1,2,0,0
0,0,2,0,1
0,1,2,0,1
1,0,2,0,1
1,1,2,0,1
0,0,2,0,2
0,1,2,0,2
1,0,2,0,2
1,1,2,0,2
0,0,2,1,0
0,1,2,1,0
1,0,2,1,0
1,1,2,1,0
0,0,2,1,1
0,1,2,1,1
1,0,2,1,1
1,1,2,1,1
0,0,2,1,2
0,1,2,1,2
1,0,2,1,2
1,1,2,1,2
0,0,2,2,0
0,1,2,2,0
1,0,2,2,0
1,1,2,2,0
0,0,2,2,1
0,1,2,2,1
1,0,2,2,1
1,1,2,2,1
0,0,2,2,2
0,1,2,2,2
1,0,2,2,2
1,1,2,2,2
0,0,2,3,0
0,1,2,3,0
1,0,2,3,0
1,1,2,3,0
0,0,2,3,1
0,1,2,3,1
1,0,2,3,1
1,1,2,3,1
0,0,2,3,2
0,1,2,3,2
1,0,2,3,2
1,1,2,3,2
0,0,3,0,0
0,1,3,0,0
1,0,3,0,0
1,1,3,0,0
0,0,3,0,1
0,1,3,0,1
1,0,3,0,1
1,1,3,0,1
0,0,3,0,2
0,1,3,0,2
1,0,3,0,2
1,1,3,0,2
0,0,3,1,0
0,1,3,1,0
1,0,3,1,0
1,1,3,1,0
0,0,3,1,1
0,1,3,1,1
1,0,3,1,1
1,1,3,1,1
0,0,3,1,2
0,1,3,1,2
1,0,3,1,2
1,1,3,1,2
0,0,3,2,0
0,1,3,2,0
1,0,3,2,0
1,1,3,2,0
0,0,3,2,1
0,1,3,2,1
1,0,3,2,1
1,1,3,2,1
0,0,3,2,2
0,1,3,2,2
1,0,3,2,2
1,1,3,2,2
0,0,3,3,0
0,1,3,3,0
1,0,3,3,0
1,1,3,3,0
0,0,3,3,1
0,1,3,3,1
1,0,3,3,1
1,1,3,3,1
0,0,3,3,2
0,1,3,3,2
1,0,3,3,2
1,1,3,3,2
0,0,4,0,0
0,1,4,0,0
1,0,4,0,0
1,1,4,0,0
0,0,4,0,1
0,1,4,0,1
1,0,4,0,1
1,1,4,0,1
0,0,4,0,2
0,1,4,0,2
1,0,4,0,2
1,1,4,0,2
0,0,4,1,0
0,1,4,1,0
1,0,4,1,0
1,1,4,1,0
0,0,4,1,1
0,1,4,1,1
1,0,4,1,1
1,1,4,1,1
0,0,4,1,2
0,1,4,1,2
1,0,4,1,2
1,1,4,1,2
0,0,4,2,0
0,1,4,2,0
1,0,4,2,0
1,1,4,2,0
0,0,4,2,1
0,1,4,2,1
1,0,4,2,1
1,1,4,2,1
0,0,4,2,2
0,1,4,2,2
1,0,4,2,2
1,1,4,2,2
0,0,4,3,0
0,1,4,3,0
1,0,4,3,0
1,1,4,3,0
0,0,4,3,1
0,1,4,3,1
1,0,4,3,1
1,1,4,3,1
0,0,4,3,2
0,1,4,3,2
1,0,4,3,2
1,1,4,3,2
