use_log,combinaison_log,vocab_counter_treshold,cleaning_mode,calcul_mode,accuracy,precision,recall,moyenne
0,0,1,0,0,0.7587939698492462,0.7027027027027027,0.6666666666666666,0.7093877797395386
1,1,1,0,1,0.6683417085427136,0.5422535211267606,0.9871794871794872,0.7325915722829871
0,1,1,0,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
1,0,1,1,0,0.9045226130653267,0.8172043010752689,0.9743589743589743,0.8986952961665233
0,0,1,1,1,0.5477386934673367,0.45454545454545453,0.7692307692307693,0.5905049724145202
1,1,1,1,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
0,1,1,2,0,0.8291457286432161,0.8142857142857143,0.7307692307692307,0.7914002245660537
1,0,1,2,1,0.6633165829145728,0.539568345323741,0.9615384615384616,0.7214744632589252
0,0,1,2,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
1,1,1,3,0,0.9597989949748744,0.9166666666666666,0.9871794871794872,0.9545483829403428
0,0,1,3,1,0.5628140703517588,0.4634146341463415,0.7307692307692307,0.5856659784224436
1,0,1,3,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
1,1,2,0,0,0.9346733668341709,0.8651685393258427,0.9871794871794872,0.9290071311131669
0,0,2,0,1,0.5376884422110553,0.4551282051282051,0.9102564102564102,0.6343576858652235
1,0,2,0,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
0,1,2,1,0,0.7437185929648241,0.6115702479338843,0.9487179487179487,0.7680022632055522
1,1,2,1,1,0.6482412060301508,0.5273972602739726,0.9871794871794872,0.7209393178278702
0,0,2,1,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
1,0,2,2,0,0.914572864321608,0.8279569892473119,0.9871794871794872,0.9099031135828023
0,1,2,2,1,0.5829145728643216,0.48148148148148145,0.8333333333333334,0.6325764625597121
1,1,2,2,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
0,1,2,3,0,0.8391959798994975,0.7674418604651163,0.8461538461538461,0.8175972288394866
1,0,2,3,1,0.6482412060301508,0.5273972602739726,0.9871794871794872,0.7209393178278702
0,1,2,3,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
0,0,3,0,0,0.7437185929648241,0.6194690265486725,0.8974358974358975,0.7535411723164648
1,1,3,0,1,0.6532663316582915,0.5310344827586206,0.9871794871794872,0.7238267671987998
0,1,3,0,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
1,0,3,1,0,0.8391959798994975,0.7129629629629629,0.9871794871794872,0.8464461433473159
0,0,3,1,1,0.5326633165829145,0.4539877300613497,0.9487179487179487,0.645122998454071
1,1,3,1,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
0,1,3,2,0,0.8291457286432161,0.7558139534883721,0.8333333333333334,0.8060976718216405
1,0,3,2,1,0.6582914572864321,0.5347222222222222,0.9871794871794872,0.7267310555627139
1,0,3,2,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
0,0,3,3,0,0.8442211055276382,0.7764705882352941,0.8461538461538461,0.8222818466389262
1,1,3,3,1,0.6532663316582915,0.5310344827586206,0.9871794871794872,0.7238267671987998
1,0,3,3,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
0,1,4,0,0,0.7336683417085427,0.6033057851239669,0.9358974358974359,0.7576238542433152
1,0,4,0,1,0.6130653266331658,0.5032679738562091,0.9871794871794872,0.701170929222954
0,0,4,0,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
1,1,4,1,0,0.9246231155778895,0.8461538461538461,0.9871794871794872,0.919318816303741
0,1,4,1,1,0.5276381909547738,0.45180722891566266,0.9615384615384616,0.6469946271362993
1,0,4,1,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
0,0,4,2,0,0.8291457286432161,0.7619047619047619,0.8205128205128205,0.8038544370202662
1,1,4,2,1,0.6582914572864321,0.5347222222222222,0.9871794871794872,0.7267310555627139
1,1,4,2,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
0,0,4,3,0,0.8442211055276382,0.7764705882352941,0.8461538461538461,0.8222818466389262
1,1,4,3,1,0.6532663316582915,0.5310344827586206,0.9871794871794872,0.7238267671987998
1,0,4,3,2,0.39195979899497485,0.39195979899497485,1.0,0.5946398659966499
